ID,Absolute_Magnitude,Est_Dia_In_Km_Min,Est_Dia_In_Km_Max,Close_Approach_Date,Relative_Velocity_Km_Per_Hr,Miss_Dist_Kilometers,Minimum_Orbit_Intersection,Jupiter_Tisserand_Invariant,Epoch_Osculation,Eccentricity,Semi_Major_Axis,Inclination,Asc_Node_Longitude,Orbital_Period,Perihelion_Distance,Perihelion_Arg,Aphelion_Dist,Perihelion_Time,Mean_Anomaly,Mean_Motion,Hazardous
100004 1983VA,16.5,2.404,2.404,2063-11-15,58894.07657118444,0.15117,0.17434,2.975337162533521,2461000.5,0.703,2.589906,15.7,76.2933,1522.4,0.77,13.7515,4.41,2461051.9093357506,347.84318,0.2364687335785601,False
100085 1992UY4,17.8,,,-,39880.73605034844,,0.02485,3.082841609037362,2461000.5,0.619,2.651297,2.6,305.1694,1576.8,1.011,42.2368,4.292,2461483.741878051,249.67319,0.228310502283105,
100756 1998FM5,16.3,1.8,1.8,2039-02-14,30578.015415696875,0.13701,0.09296,3.3729291993807737,2461000.5,0.555,2.264763,11.6,176.5014,1244.9,1.009,312.0578,3.521,2460831.418939892,48.89507,0.2891798538035183,False
100926 1998MQ,16.7,1.5,1.5,2029-11-01,57020.82582661344,0.19991,0.12928,3.8938634080270327,2461000.5,0.408,1.782775,24.2,221.0728,869.4,1.056,138.8093,2.509,2460674.156520499,135.12454,0.4140786749482402,False
10115 1992SK,17.1,0.93,0.93,2031-08-25,37211.9204056734,0.19925,0.04641,5.061510532588736,2461000.5,0.325,1.248598,15.3,8.8702,509.6,0.843,233.7358,1.654,2460990.484467623,7.07529,0.706436420722135,False
10145 1994CK1,17.0,1.1,2.4,2040-06-20,69908.56164845388,0.14466,0.06296,3.67172953613962,2461000.5,0.633,1.899898,4.5,328.3673,956.5,0.698,27.443,3.102,2460631.379777394,138.92376,0.3763721902770517,False
10150 1994PN,15.4,,,-,,,0.22324,2.9795845554048768,2461000.5,0.544,2.373824,46.0,112.9705,1335.9,1.082,233.9874,3.666,2460349.10959189,175.53864,0.2694812485964518,
10165 1995BL2,17.4,,,-,,,0.37645,4.984369499984163,2461000.5,0.504,1.234597,23.9,312.4151,501.1,0.613,348.4665,1.857,2460973.924923676,19.09372,0.7184194771502693,
101869 1999MM,19.5,0.3,0.8,2030-07-29,73109.14133093027,0.19309,0.00159,4.085446993243238,2461000.5,0.611,1.624201,4.8,110.9199,756.1,0.632,268.8381,2.616,2461245.849276384,243.17679,0.4761274963629149,False
101873 1999NC5,16.4,,,-,,,0.43759,3.365015350396516,2461000.5,0.393,2.029357,45.8,128.774,1055.9,1.232,295.2704,2.827,2461129.732921291,315.94054,0.3409413770243394,
